ID,Subject,Group Name,Status,Priority,Created At,Age (in Days),Tags,Requester Email,Responder ID,School Code,Priority Reason,Module,Type
1002586,Reg. Staff Documents Upload || ASSISI,10X-Sandhya-PD,8,1,2024-06-10T06:48:44Z,363,"WFC, Staff Administration and Payroll, Backlog, Product Head Reviewed",,1060001529614,,,Staff Administration & Payroll,Change Request
1096494,Inter School Transfer || St. Augustine Day School,10X-Sandhya-PD,8,1,2024-09-19T12:07:54Z,262,"Staff Administration and Payroll, WFC, Confirmation Given, Backlog, Product Head Reviewed",,1060027877850,,,Staff Administration & Payroll,Change Request
1181975,Import facilities for pay information,10X-Sandhya-PD,8,1,2024-12-30T12:16:03Z,160,"Staff Administration and Payroll, Product Head Reviewed",,1060018581359,,,Staff Administration & Payroll,Prod. Enhancement
1182365,"Reg: Staff Portal||1995#Ambience Public School, Gurgaon, Haryana",10X-Sandhya-PD,8,1,2024-12-31T06:50:16Z,159,"Prod. Enhancement, Backlog, WFC, Confirmation Given, Staff Administration and Payroll, Product Head Reviewed",,1060001529614,,,Staff Administration & Payroll,Prod. Enhancement
1191843,"867#D A V Public School, Sector-37, Faridabad || (Product upgradation in to 10X)",10X-Parvez-PD,8,1,2025-01-10T05:04:52Z,149,"Delta Discussed, WFC, Confirmation Given, Product Head Reviewed",,1060027877850,,,10X Upgrade,Prod. Enhancement
1232841,"Pacific World School, Gr. Noida #1056 || 10x Upgrade",10X-Shobia-PD,8,1,2025-02-23T18:01:30Z,105,"Delta Discussed, WFC, Confirmation Given, SLA Extn",,1060004324401,,,10X Upgrade,Prod. Enhancement
1233842,Reg- Payroll report (10X Upgrade),10X-Sandhya-PD,8,1,2025-02-24T09:31:48Z,104,"Staff Administration and Payroll, Delta Discussed, WFC, Confirmation Given",,1060027877850,,,Staff Administration & Payroll,Change Request
1234690,Staff Late in Mail || JSHLPB,10X-Sandhya-PD,8,2,2025-02-25T05:52:04Z,103,"SMS, Product Head Reviewed, WFC, Confirmation Given",,1060023086492,,,Sms System,Change Request
1244237,Regarding Payroll report,10X-Sandhya-PD,8,1,2025-03-05T10:04:41Z,95,"Staff Administration and Payroll, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060004975270,,,Staff Administration & Payroll,Change Request
1245870,Requirement in Student Attendance,10X-Sandhya-PD,8,1,2025-03-06T13:20:00Z,94,"Backlog, Product Head Reviewed",,1060001529614,,,Student Attendance,Change Request
1245868,Requirements in Staff Leave & Attendance,10X-Sandhya-PD,8,3,2025-03-06T13:18:30Z,94,"Staff Attendance and Leave, Backlog, Product Head Reviewed",,1060001529614,,,Staff Attendance and Leave,Change Request
1245857,Requirements in School Online / Portals,10X-Sandhya-PD,8,1,2025-03-06T13:03:31Z,94,"School Online, Backlog, Product Head Reviewed",,1060001529614,,,School Online,Change Request
1247760,Conditions to be made in Report Cards of Class IX & XI,10X-Shobia-PD,8,3,2025-03-08T06:41:53Z,92,"Examination, TL Review, Prod. Enhancement, SLA Extn",,1060004325607,,,Examination & Result Analysis,Prod. Enhancement
1254965,"New Staff Report ""STAFF PERSONAL DETAILS"" || #786 SHISMT",10X-Parvez-PD,16,1,2025-03-15T12:05:22Z,85,"Staff Administration and Payroll, TL Review, WFC, Confirmation Given, Product Head Reviewed",,1060023087366,,,Staff Administration & Payroll,Change Request
1263473,Need a consolidated report which can be generated classwise,10X-Shobia-PD,8,3,2025-03-21T14:30:46Z,79,"Examination, TL Review, Backlog",,1060004325607,,,Examination & Result Analysis,Change Request
1266245,Mark Entry List Report modification,10X-Sandhya-PD,8,3,2025-03-24T14:01:58Z,76,"Student Inforamtion, TL Review, Backlog, Prod. Enhancement, Product Head Reviewed, WFC, Confirmation Given",,1060023084071,,,Student Information,Prod. Enhancement
1267539,"Logs for ""report card upload / report card setting and report card generation || # 1923",10X-Shobia-PD,8,1,2025-03-25T11:48:41Z,75,"Examination, TL Review, SLA Extn",,1060004324401,,,Examination & Result Analysis,Change Request
1274073,Transport Information,10X-Atul-PD,8,1,2025-03-31T10:35:58Z,69,"Transport Management, TL Review, Backlog, Product Head Reviewed, WFC, Confirmation Given",,1060001536356,,,Transport Management,Prod. Enhancement
1273723,SMS for birthday greetings,10X-Atul-PD,8,2,2025-03-31T06:16:14Z,69,"SMS, TL Review, Product Head Reviewed",,1060001536356,,,Sms System,Prod. Enhancement
1280010,Drag a column header here to group its column not working,10X-Sandhya-PD,8,4,2025-04-04T07:01:39Z,65,"Student Inforamtion, TL Review, WFC, Confirmation Given, Prod. Enhancement, Product Head Reviewed",,1060004975270,,,Student Information,Prod. Enhancement
1287300,Attendance-Staff Portal,10X-Parvez-PD,16,1,2025-04-10T13:00:12Z,59,"Staff Administration and Payroll, Prod. Enhancement, Product Head Reviewed, WFC",,1060019283783,,,Staff Administration & Payroll,Prod. Enhancement
1287167,Gender Wise Circular,10X-Sandhya-PD,8,1,2025-04-10T10:51:40Z,59,"School Online, Product Head Reviewed",,1060023083789,,,School Online,Prod. Enhancement
1287164,Student Promotion Defaulter BRD,10X-Sandhya-PD,8,1,2025-04-10T10:50:00Z,59,"Student Inforamtion, Product Head Reviewed",,1060001529614,,,Student Information,Prod. Enhancement
1286903,Staff Attendance Report => Staff Detailed Work Duration Report,10X-Sandhya-PD,8,1,2025-04-10T08:12:55Z,59,"Staff Attendance and Leave, WFC, Confirmation Given, Product Head Reviewed, Prod. Enhancement",,1060004975270,,,Staff Attendance and Leave,Prod. Enhancement
1290950,Attendance Certificate #914,10X-Sandhya-PD,8,1,2025-04-15T05:18:41Z,54,"Student Inforamtion, Product Head Reviewed",,1060023085592,,,Student Information,Change Request
1296137,SMS Module || JSHLPB,10X-Atul-PD,8,3,2025-04-21T06:07:01Z,48,"SMS, Product Head Review, Prod. Enhancement, WFC, Confirmation Given",,1060002872631,,,Sms System,Prod. Enhancement
1295839,SMS for Birthday || JSHLPB,10X-Atul-PD,8,3,2025-04-21T04:33:30Z,48,"SMS, Prod. Enhancement, Product Head Review, Product Head Reviewed",,1060023085785,,,Sms System,Prod. Enhancement
1298100,SMS-  Display shared image inline within the  message body,10X-Atul-PD,8,1,2025-04-22T09:46:29Z,47,"SMS, TL Review",,1060004975270,,,Sms System,Prod. Enhancement
1299628,Intra School Transfer || HISSJR,10X-Sandhya-PD,8,1,2025-04-23T11:51:08Z,46,"Student Inforamtion, Prod. Enhancement",,1060023084904,,,Student Information,Prod. Enhancement
1299620,School Online Dashboard,10X-Arpit-PD,16,1,2025-04-23T11:42:08Z,46,"School Online, Product Head Reviewed, WFC",,1060014525993,,,School Online,Prod. Enhancement
1300806,Tax need to calculate as per new tax regim,10X-Sandhya-PD,8,3,2025-04-24T11:45:06Z,45,"Staff Administration and Payroll, TL Review",,1060001529614,,,Staff Administration & Payroll,Change Request
1301862,Automatic Transfer Certificate Fee Assignment,10X-Atul-PD,8,1,2025-04-25T11:40:32Z,44,"Student Inforamtion, Product Head Reviewed",,1060001536356,,,Student Information,Change Request
1302334,Regarding COMP OFF auto approval,10X-Sandhya-PD,8,2,2025-04-26T08:08:02Z,43,"Staff Attendance and Leave, TL Review",,1060001529614,,,Staff Attendance and Leave,Prod. Enhancement
1302066,Group Message,10X-Sandhya-PD,8,1,2025-04-26T04:17:03Z,44,"School Online, TL Review, Prod. Enhancement",,1060004975270,,,School Online,Prod. Enhancement
1303451,CONTRA VOUCHER FORMAT || #786 SHISMT,10X-Atul-PD,8,3,2025-04-28T09:26:41Z,41,"Financial Accounting, TL Review, WFC, Confirmation Given",,1060004975270,,,Financial Accounting,Change Request
1303045,"Reg - Fee Analysis || 1187#Ben-Hur Public School, Pilibhit (UP)",10X-Atul-PD,8,1,2025-04-28T06:03:08Z,41,"Fee & Billing, TL Review, WFC, Confirmation Given",,1060023085785,,,Fee and Billing,Change Request
1303006,Need to add the provision to add the auto leave deduction,10X-Sandhya-PD,16,1,2025-04-28T05:38:51Z,41,"Staff Administration and Payroll, TL Review, WFC, Confirmation Given, Prod. Enhancement, Product Head Reviewed",,1060004975270,,,Staff Administration & Payroll,Prod. Enhancement
1304700,"Regarding Parent mobile application and web portal(814#J K Public School, Kunjwani, Jammu)",10X-Atul-PD,8,2,2025-04-29T10:05:07Z,40,"School Online, TL Review, WFC, Confirmation Given",,1060004975270,,,School Online,Change Request
1304197,Monthly Days wise collection in School Fee Report || #2040 STBASIL,10X-Atul-PD,8,3,2025-04-29T05:37:16Z,40,"Fee & Billing, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060004975270,,,Fee and Billing,Change Request
1303862,"Mary Mount, Kattachira # 1991 (Reg : Changes in Section Fee Group Assigner)",10X-Sandhya-PD,8,3,2025-04-29T01:14:22Z,41,Student Inforamtion,,1060004975270,,,Student Information,Prod. Enhancement
1305576,Internal Message Issue-> 1940#Aditya Birla Intermediate College,10X-Sandhya-PD,8,1,2025-04-30T07:33:01Z,39,"School Online, TL Review, Prod. Enhancement, Product Head Reviewed",,1060004975270,,,School Online,Prod. Enhancement
1305571,Exam Requirement.,10X-Shobia-PD,16,1,2025-04-30T07:29:23Z,39,"Examination, Prod. Enhancement, WFC",,1060004325487,,,Examination & Result Analysis,Prod. Enhancement
1306643,"Unable to see the Approved Parent concerns(2131#Cornerstone, Serilingampally, Telangana)",10X-Sandhya-PD,8,1,2025-05-01T08:23:16Z,38,"School Online, TL Review",,1060004975270,,,School Online,Change Request
1308838,Regarding payroll report,10X-Sandhya-PD,8,3,2025-05-03T11:34:00Z,36,"Staff Administration and Payroll, TL Review",,1060023084288,,,Staff Administration & Payroll,Change Request
1308816,REG: addition of fields #1940,10X-Sandhya-PD,8,1,2025-05-03T11:10:29Z,36,"Student Inforamtion, TL Review, Prod. Enhancement",,1060004324590,,,Student Information,Prod. Enhancement
1310010,Regarding the modification in the acquitance roll,10X-Parvez-PD,8,1,2025-05-05T10:56:45Z,34,"Staff Administration and Payroll, TL Review",,1060019283783,,,Staff Administration & Payroll,Prod. Enhancement
1309506,From ENTAB |Regarding Fee group wise wise discount setting||entab.online/SCWPUC,10X-Atul-PD,8,1,2025-05-05T06:11:14Z,34,"Fee & Billing, TL Review, Product Head Reviewed, WFC, Confirmation Given",,1060001536356,,,Fee and Billing,Change Request
