ID,Subject,Change,Group,Status
1283842,Regarding New Consolidated Report,Closed/Removed,10X-Shobia-PD,8
1333251,Regarding Biometric Attendance,Closed/Removed,10X-Sandhya-PD,8
1332355,STUDENTS DATA 2024-2025,Closed/Removed,10X-Sandhya-PD,16
1333381,Holiday change  Android,Closed/Removed,10X-Arpit-PD,8
1331972,Request to Link School Staff Attendance System with Entab,Closed/Removed,10X-Sandhya-PD,8
1333384,Holiday change iOS,Closed/Removed,10X-Arpit-PD,8
1333388,Change in Principal App Android,Closed/Removed,10X-Arpit-PD,8
1333389,Change in Principal App iOS,Closed/Removed,10X-Arpit-PD,8
1327503,Fee and Billing,Closed/Removed,10X-Atul-PD,8
1333649,"on school main page, school name is coming wrong",Closed/Removed,10X-Sandhya-PD,8
1333523,In Payroll =>Payroll Reports=>Acquitance Roll=> Error message is coming.,Closed/Removed,10X-Sandhya-PD,8
1319444,Fee & Billing ->Fee Reports -> Headwise Reconcilliation Details : - Kindly Provide the said report as in attached format as there was in MVC,Closed/Removed,10X-Atul-PD,8
1333139,Promotion,Closed/Removed,10X-Sandhya-PD,8
1164955,Staff Attendance Report,Closed/Removed,10X-Sandhya-PD,8
1333788,Reg CTC master form,Closed/Removed,10X-Sandhya-PD,8
1327645,Regarding TC No series Skip- JKPSKJ,Closed/Removed,10X-Sandhya-PD,8
1332001,Reg - Fee Start from filed is empty for New Admission Joiner || #2077 HFSTHANE,Closed/Removed,10X-Sandhya-PD,8
1333153,Reg. Bio metrix integration,Closed/Removed,10X-Sandhya-PD,8
1333412,Graph in app,Closed/Removed,10X-Arpit-PD,8
1331620,Regarding Fee Collection Form,Closed/Removed,10X-Atul-PD,16
1327654,"Salary Generation || STSUDP || 291#St. Teresa's Sr. Sec. School, Udaipur",Closed/Removed,10X-Sandhya-PD,8
1332390,Principal Staff Birthday Android,Closed/Removed,10X-Arpit-PD,8
1332392,Principal Staff Birthday iOS,Closed/Removed,10X-Arpit-PD,8
1320620,Mapping of Unit Heads as per the attachment for Principal Appraisal,Closed/Removed,10X-Sandhya-PD,8
1327663,Regarding tc,Closed/Removed,10X-Sandhya-PD,8
1332016,"Sacred Heart, Kottayam # 851 (Reg : Error in ESI Statement)",Closed/Removed,10X-Sandhya-PD,8
1333679,Issue in Sibling Payment (10x),Closed/Removed,10X-Atul-PD,8
1198394,School Online > Staff Achievement for staff,Closed/Removed,10X-Arpit-PD,8
1333564,"EXCESS AMOUNT || 1209#Montfort School, Ranirkhamar, Agartala",Closed/Removed,10X-Atul-PD,8
1328576,Staff/Principal Mobile App,Closed/Removed,10X-Arpit-PD,8
1322308,Need SATS No. Feild in Student Information,Closed/Removed,10X-Sandhya-PD,8
1333449,Multiple Notification and Email Issues,Closed/Removed,10X-Sandhya-PD,8
1332298,Head wise settlement report,Closed/Removed,10X-Atul-PD,8
